,idkey,currency,ADFstatistic,pvalue,CriticalValue 1%,CriticalValue 5%,CriticalValue 10%
28,28,Ontology,-1.5342774578668632,0.5164918028898653,-3.450141065277327,-2.870258846235788,-2.571415151457764
29,29,Maker,-1.564990789879023,0.5011519279278088,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
30,30,Crypto.com Chain,-1.3198683822453214,0.620034199397439,-3.450081345901191,-2.870232621465807,-2.571401168202517
31,31,Bitcoin Gold,-2.020904412217706,0.2774831226333089,-3.450141065277327,-2.870258846235788,-2.571415151457764
32,32,Qtum,-2.7634421180686624,0.06368852590242366,-3.450141065277327,-2.870258846235788,-2.571415151457764
33,33,VeChain,-1.587397311280353,0.4899211185856272,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
34,34,Dogecoin,-1.7924747483559054,0.38420412068371806,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
35,35,OmiseGO,-1.2027512646264185,0.6724110689442058,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
36,36,V Systems,-2.78209334525267,0.060877481498980646,-3.4503836022181056,-2.8703653471616826,-2.571471939191249
37,37,Decred,-1.5051862645255312,0.5309442256743553,-3.450141065277327,-2.870258846235788,-2.571415151457764
38,38,BitTorrent Token,-2.340415043069275,0.15926431277313102,-3.450141065277327,-2.870258846235788,-2.571415151457764
39,39,Holo,-2.624681670079789,0.08800260424351769,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
40,40,TrueUSD,-2.0601055724165502,0.2608558254293014,-3.4503224123605194,-2.870338478726661,-2.571457612488522
41,41,Egretia,-3.400911776070066,0.010927828468561628,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
42,42,Hshare,-1.8680579562406079,0.3472335753097374,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
43,43,HedgeTrade,-2.800465632611114,0.058207286541613466,-3.45050711373316,-2.8704195794076743,-2.571500856923753
44,44,Bitcoin Diamond,-1.215173130795972,0.6670347944306089,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
45,45,Ravencoin,-2.1047338693786344,0.24261535444305415,-3.4502615951739393,-2.8703117734117742,-2.5714433728242714
46,46,Pundi X,-2.8184632353412757,0.05568444133541217,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
47,47,Lisk,-1.3677146467184058,0.5976525654721019,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
48,48,Huobi Token,-2.267477738750084,0.1826716264058627,-3.4505694423906546,-2.8704469462727795,-2.5715154495841017
49,49,Waves,-1.9162770180385973,0.32444305551073527,-3.451148243362826,-2.8707010565250752,-2.571650950153748
50,50,Aurora,-2.0657215906496953,0.2585195560969625,-3.450081345901191,-2.870232621465807,-2.571401168202517
51,51,Qubitica,-2.547719665310335,0.10429097563900808,-3.4502011472639724,-2.8702852297358983,-2.5714292194077513
