,idkey,currency,ADFstatistic,pvalue,CriticalValue 1%,CriticalValue 5%,CriticalValue 10%
0,0,Bitcoin,0.23118431826244976,0.9739573812155284,-3.448905534655263,-2.8697161816205705,-2.5711258103550882
1,1,Ethereum,-2.311431621169173,0.16830754924382352,-3.4486972813047574,-2.8696246923288418,-2.571077032068342
2,2,XRP,-3.155309762730149,0.022721691383044737,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
3,3,Litecoin,-0.5262010259424643,0.8868013358838113,-3.448645946352023,-2.869602139060357,-2.5710650077160495
4,4,Bitcoin Cash,-1.9102413872235515,0.327258683172407,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
5,5,EOS,-2.572645782796023,0.098783639120402,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
6,6,Stellar Lumens,-1.051083921210217,0.7341799519620541,-3.4484434475193777,-2.869513170510808,-2.571017574266393
7,7,Chainlink,3.7039572767941213,1.0,-3.449336554273722,-2.8699055166063085,-2.571226758215748
8,8,Ethereum Classic,-2.5007443093432578,0.11529333127863212,-3.449226932880019,-2.869857365438656,-2.571201085130664
9,9,Zcash,-2.130555519680019,0.232406858755151,-3.4491725955218655,-2.8698334971428574,-2.5711883591836733
10,10,Basic Attention Token,-1.5525278115429735,0.5073852783126352,-3.4485948978753314,-2.86957971128312,-2.571053050314224
11,11,USD Coin,-2.497351155469749,0.11612014822172945,-3.453922368485787,-2.871918329081633,-2.5723001147959184
12,12,0x,-2.6714030978269685,0.07911884790133294,-3.449336554273722,-2.8699055166063085,-2.571226758215748
13,13,Augur,-2.684634995796238,0.07673503356275908,-3.4485948978753314,-2.86957971128312,-2.571053050314224
14,14,Dai,-2.7591391689877356,0.06435164524831377,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
15,15,Bitcoin SV,-0.4395257881481441,0.9032872863930054,-3.460567372610299,-2.874829809033386,-2.573853225954421
16,16,Binance Coin,0.5356101948753587,0.9859161810952615,-3.448544133483233,-2.8695574079525565,-2.5710411593052713
17,17,Tether,-2.1825609221218563,0.21263560652021907,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
18,18,TRON,-2.127399619656532,0.23364073643382133,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
19,19,Cardano,-2.2402020755446412,0.19197918389493795,-3.448645946352023,-2.869602139060357,-2.5710650077160495
20,20,UNUS SED LEO,-0.0,0.958532086060056,-4.6651863281249994,-3.3671868750000002,-2.802960625
21,21,Monero,-2.0858226318055078,0.2502534725997714,-3.448645946352023,-2.869602139060357,-2.5710650077160495
22,22,Dash,-2.316144437963564,0.16681392367968484,-3.4492815848836296,-2.8698813715275406,-2.5712138845950587
23,23,NEO,-3.419324511699053,0.010317477983440824,-3.448645946352023,-2.869602139060357,-2.5710650077160495
24,24,IOTA,-3.095935031821622,0.026855480539664658,-3.448645946352023,-2.869602139060357,-2.5710650077160495
25,25,Cosmos,-1.707271257975812,0.42737005376499554,-3.5352168748293127,-2.9071540828402367,-2.5911025443786984
26,26,NEM,-3.1536640827530236,0.02282839064353482,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
27,27,Tezos,-2.195402786953312,0.2079182091565112,-3.4489583388155194,-2.869739378430086,-2.5711381780459
28,28,Ontology,-3.6916308013962778,0.004232426372679985,-3.4493918438232525,-2.8699298018856574,-2.5712397066390458
29,29,Maker,-2.339108773068042,0.1596645740264404,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
30,30,Crypto.com Chain,-1.2319714671537685,0.6596934466860067,-3.464337030867007,-2.876478799035722,-2.574733103221565
31,31,Bitcoin Gold,-1.833076357008573,0.36416819929226857,-3.448645946352023,-2.869602139060357,-2.5710650077160495
32,32,Qtum,-3.5281867828387474,0.007292027829724677,-3.448645946352023,-2.869602139060357,-2.5710650077160495
33,33,VeChain,-1.0222643941238876,0.7450575137034517,-3.450695263332383,-2.87050218926466,-2.5715449066453284
34,34,Dogecoin,-1.9601922369972025,0.30429540348369366,-3.448544133483233,-2.8695574079525565,-2.5710411593052713
35,35,OmiseGO,-3.656072156942214,0.004775224313619957,-3.4492815848836296,-2.8698813715275406,-2.5712138845950587
36,36,V Systems,-0.0,0.958532086060056,-10.41719074074074,-5.77838074074074,-3.391681111111111
37,37,Decred,-2.2555684889276257,0.18669848463363042,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
38,38,BitTorrent Token,-1.5498477217632216,0.5087242601727444,-3.492995948509562,-2.888954648057252,-2.58139291903223
39,39,Holo,-1.831321575842221,0.36502597459327313,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
40,40,TrueUSD,-2.5532346729356203,0.10305294714307323,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
41,41,Egretia,1.584384994748878,0.9978099649997726,-3.4493918438232525,-2.8699298018856574,-2.5712397066390458
42,42,Hshare,-1.3440169374773436,0.608801817100367,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
43,43,HedgeTrade,0.9859790366295372,0.9941157859596246,-3.5148692050781247,-2.8984085156250003,-2.58643890625
44,44,Bitcoin Diamond,-3.041972118370071,0.031156329574218336,-3.448645946352023,-2.869602139060357,-2.5710650077160495
45,45,Ravencoin,-1.5323944950222639,0.5174297492630668,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
46,46,Pundi X,-4.3392371996426995,0.00037961955414290874,-3.449336554273722,-2.8699055166063085,-2.571226758215748
47,47,Lisk,-2.780114406591154,0.06117090642872559,-3.449336554273722,-2.8699055166063085,-2.571226758215748
48,48,Huobi Token,-0.5628616399599433,0.8791549212642089,-3.448645946352023,-2.869602139060357,-2.5710650077160495
49,49,Waves,-2.7836753598918196,0.06064372842320695,-3.448748905151901,-2.8696473721448728,-2.5710891239349585
50,50,Aurora,-2.1876365385629257,0.21076324169972838,-3.448493650810824,-2.8695352280356556,-2.5710293341377715
51,51,Qubitica,2.239733347110661,0.9989136376363861,-3.452636878592149,-2.8713543954331433,-2.5719993576515705
